Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-07-21 00:00:00+05:30,857.7677666496872,861.7319517422713,855.5922862666072,860.3782958984375,141941,0.0,0.0
2017-07-24 00:00:00+05:30,860.5234010400521,898.1833976411152,858.5896405882768,886.0006713867188,100172,0.0,0.0
2017-07-25 00:00:00+05:30,891.4635315447833,898.956852986727,875.7033963147868,882.4715576171875,115664,0.0,0.0
2017-07-26 00:00:00+05:30,881.1179298582862,889.4331351318378,877.202076782578,884.8404541015625,32112,0.0,0.0
2017-07-27 00:00:00+05:30,884.6954811932624,900.165566110303,884.6954811932624,893.7841796875,80090,0.0,0.0
2017-07-28 00:00:00+05:30,890.1099108630913,894.3158752469036,881.1662687885374,886.725830078125,10870,0.0,0.0
2017-07-31 00:00:00+05:30,879.8609930220857,888.5629149310954,870.2888553167012,874.5431518554688,18942,0.0,0.0
2017-08-01 00:00:00+05:30,864.3910146106061,896.9265613051734,864.3910146106061,889.1431274414062,49417,0.0,0.0
2017-08-02 00:00:00+05:30,881.7947446627659,889.7231741258478,878.1689439034618,885.1304931640625,21594,0.0,0.0
2017-08-03 00:00:00+05:30,881.5530858594419,894.267585010902,876.6703523004136,882.5682983398438,34400,0.0,0.0
2017-08-04 00:00:00+05:30,883.2451343632266,888.7080315419395,864.1975810750422,872.7061157226562,28388,0.0,0.0
2017-08-07 00:00:00+05:30,870.1923014536814,904.0331131768801,870.1923014536814,891.3670043945312,82759,0.0,0.0
2017-08-08 00:00:00+05:30,894.3642085020794,908.3839717704903,888.2728748847483,894.79931640625,63162,0.0,0.0
2017-08-09 00:00:00+05:30,907.6105637480473,966.8803152714489,894.0742393342471,943.0466918945312,262329,0.0,0.0
2017-08-10 00:00:00+05:30,943.0466152825295,966.6385166640508,904.0330213362216,909.5442504882812,109044,0.0,0.0
2017-08-11 00:00:00+05:30,906.6435281250934,971.6178859839908,871.3040704582954,940.9677734375,100160,0.0,0.0
2017-08-14 00:00:00+05:30,950.4433756845823,984.5742399364376,950.2499878135458,968.9107666015625,55900,0.0,0.0
2017-08-16 00:00:00+05:30,969.7809209745558,992.8893832752376,966.8802801341533,975.1470947265625,73974,0.0,0.0
2017-08-17 00:00:00+05:30,980.7549663822278,985.8794789620692,957.2114556985517,969.8775634765625,24626,0.0,0.0
2017-08-18 00:00:00+05:30,966.8801793055476,969.7324876372355,932.4108773078317,953.2471923828125,61709,0.0,0.0
2017-08-21 00:00:00+05:30,953.2473274196798,966.5419317684426,919.5031807762524,925.7879028320312,51529,0.0,0.0
2017-08-22 00:00:00+05:30,937.8254013367763,951.023279807778,930.5738003042434,937.9703979492188,16737,0.0,0.0
2017-08-23 00:00:00+05:30,938.4539161615158,947.5426138178963,918.5362072724505,928.1566772460938,18966,0.0,0.0
2017-08-24 00:00:00+05:30,923.9506858645606,946.575705913733,909.5442064432358,921.3884887695312,39180,0.0,0.0
2017-08-28 00:00:00+05:30,938.5023550834406,950.4433027794158,924.8209756953319,944.5936889648438,16040,0.0,0.0
2017-08-29 00:00:00+05:30,944.5936329391317,954.0207149864011,934.0546150449156,949.7664184570312,11939,0.0,0.0
2017-08-30 00:00:00+05:30,956.341200479521,960.8855493090497,928.4950619904293,931.830810546875,62862,0.0,0.0
2017-08-31 00:00:00+05:30,942.0314077594682,976.5490441936031,928.5434165839578,964.2696533203125,68640,0.0,0.0
2017-09-01 00:00:00+05:30,966.8802809649565,981.4318173907412,949.5731003302081,955.3260498046875,12082,0.0,0.0
2017-09-04 00:00:00+05:30,957.2113692557032,969.2490391869583,933.2810850243105,952.4736328125,13667,0.0,0.0
2017-09-05 00:00:00+05:30,954.5524661492304,995.8865942098834,950.7332776017083,991.8257446289062,145520,0.0,0.0
2017-09-06 00:00:00+05:30,986.2178023128487,1003.6216458830754,963.3510620164939,974.27685546875,46750,0.0,0.0
2017-09-07 00:00:00+05:30,982.9303452888641,991.4872110840554,957.6464645583883,965.2364501953125,27704,0.0,0.0
2017-09-08 00:00:00+05:30,973.2132440860904,978.4827529278158,956.0994529090233,967.9921264648438,21061,0.0,0.0
2017-09-11 00:00:00+05:30,976.5007312544352,992.3092589276464,967.8471411170348,988.248291015625,17985,0.0,0.0
2017-09-12 00:00:00+05:30,996.8535219312861,996.8535219312861,977.322529388479,991.390625,22196,0.0,0.0
2017-09-13 00:00:00+05:30,991.24563296292,1004.588628268292,974.6153390706818,985.1543579101562,36927,0.0,0.0
2017-09-14 00:00:00+05:30,969.8292174453095,992.5992354006016,969.8292174453095,978.9662475585938,38117,0.0,0.0
2017-09-15 00:00:00+05:30,978.4345118989817,996.8535694443673,969.7809215836085,986.8947143554688,19067,0.0,0.0
2017-09-18 00:00:00+05:30,995.8866841498924,1003.9601108479621,987.3781495249418,995.3065795898438,15989,0.0,0.0
2017-09-19 00:00:00+05:30,1002.2198329157555,1031.0811865745582,994.436399206396,1024.16796875,76048,0.0,0.0
2017-09-20 00:00:00+05:30,1032.6281504394763,1038.4294321835182,1010.3899037539819,1024.40966796875,37945,0.0,0.0
2017-09-21 00:00:00+05:30,1017.1580338543496,1021.073946119587,976.7907829860804,987.1364135742188,60843,0.0,0.0
2017-09-22 00:00:00+05:30,991.0523061973012,995.935098916835,971.7147002227197,981.866943359375,21270,0.0,0.0
